PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Kris Dunn,UTA,40,0.3,4.2,1.17,0.4,0.1,0.3,50,60,16.7,8.3,8.3,8.3,50,27.7
Paolo Banchero,ORL,50,0.4,3.4,0.79,0.3,0.1,0.4,31.6,39.5,0,0,0,0,31.6,79.3
James Harden,LAC,43,0.4,3.9,0.79,0.3,0.1,0.4,27.8,36.1,5.3,0,5.3,0,31.6,79.3
Khris Middleton,MIL,40,0.5,4.8,0.83,0.4,0.1,0.4,29.4,41.2,5.6,0,5.6,0,33.3,72.2
RJ Barrett,NYK,25,0.7,6.9,0.83,0.6,0.2,0.6,31.3,37.5,5.6,5.6,5.6,0,33.3,72.2
Kyle Lowry,MIA,37,0.4,4,1,0.4,0.1,0.3,33.3,45.8,20,0,20,0,40,54
Isaac Okoro,CLE,38,0.4,3.9,1.07,0.4,0.2,0.3,46.2,57.7,0,7.1,0,0,42.9,41.6
Jalen Suggs,ORL,44,0.7,6.8,0.52,0.4,0.1,0.6,22.2,25.9,3.2,9.7,0,0,22.6,94
Jerami Grant,POR,43,0.7,6.8,0.55,0.4,0.1,0.6,22.2,27.8,3.4,6.9,3.4,3.4,20.7,92.7
Jayson Tatum,BOS,46,0.5,5.5,0.67,0.3,0.1,0.5,26.1,34.8,0,4.2,0,0,25,86.5
Jonathan Kuminga,GSW,45,0.5,5.7,0.67,0.4,0.1,0.5,22.7,31.8,4.2,4.2,4.2,0,25,86.5
Nickeil Alexander-Walker,MIN,49,0.4,4.3,0.8,0.3,0.1,0.3,37.5,43.8,10,10,10,0,35,78.4
Cam Thomas,BKN,39,0.5,5.1,0.84,0.4,0.2,0.4,43.8,50,0,15.8,0,0,36.8,70
Jalen Brunson,NYK,47,0.3,3.5,1,0.3,0.1,0.3,40,50,6.3,6.3,6.3,6.3,37.5,54
Christian Braun,DEN,49,0.3,4.9,1,0.3,0.1,0.2,45.5,50,18.8,12.5,18.8,0,50,54
Donovan Mitchell,CLE,38,0.4,5.1,1,0.4,0.1,0.3,38.5,53.8,6.3,12.5,0,0,37.5,54
